episodicTitle,episodicCategory,episodicSynopsis,episodicLanguage,episodicPosterUrl,episodicStudioName,episodicCrew/0/crewName,episodicCrew/0/crewRole,episodicCast/0/screenName,episodicCast/0/realName,episodeList/0/episodeNo,episodeList/0/episodeUrl,episodeList/0/episodePosterUrl,episodeList/0/episodeDescription,episodeList/0/episodeReleaseDate,episodicType
Irabatir Chupkotha,TV Episodes,"While Irabati is a kind and caring woman, Akash is an arrogant man with a troubled child.",Bengoli,"https://img1.hotstarext.com/image/upload/f_auto,t_hcdl/sources/r1/cms/prod/231/290231-h.jpg",‎Acropolis Entertainment Pvt. Ltd.,Mahendra Soni,producer,Akash Chatterjee,Syed Arefin,1,null,https://secure-media1.hotstarext.com/r1/thumbs/PCTV/64/1000218664/PCTV-1000218664-hcdl.jpg,"Meet - Iraboti Mitra           Iraboti, a beautiful and elegant woman, ignores her personal life and takes care of her family. Unmarried but determined, she caters to her family's needs and hopes to find happiness someday..",2018-09-03,premium
Mayurpankhi,TV Episodes,"Tisham and Souryadeep like each other, but fate forces them apart. When they meet again.",Bengoli,"https://img1.hotstarext.com/image/upload/f_auto,t_hcdl/sources/r1/cms/prod/262/290262-h.jpg",‎Magic Moments Motion Pictures, Leena Gangopadhyay ,writer,Tisham Sen,Sohini Guha Roy  ,1,null,"https://img1.hotstarext.com/image/upload/f_auto,t_web_hs_2_5x/sources/r1/cms/prod/4534/534534-h.jpg","Meet Souryadeep  Souryadeep, a young boy decides to celebrate the Durga Puja bisarjan ceremony at Taki. Meanwhile, young Tisham seek permission from her uncle to visit Taki.",2018-11-12,free
Guriya Jekhane,TV Episodes,Best friends Guddu and Guriya stay in an orphanage in Darjeeling.,Bengoli,"https://img1.hotstarext.com/image/upload/f_auto,t_hcdl/sources/r1/cms/prod/1490/521490-h.jpg",‎576iHDTV 1080i, Sahana  ,writer,Guddu,Abhirup Sen  ,1,null,https://www.bizasialive.com/wp-content/uploads/2019/01/guriya001.jpg,"Meet Guddu and Guriya! This is the story of two best friends, Guddu and Guriya, who stay in an orphanage. They will go to any length for their friendship, even lie to the strict teachers to save each other.",2019-01-21,free
Sreemoyee,TV Episodes,"When Sreemoyee, a middle-aged housewife, realises that her family takes her for granted.",Bengoli,"https://img1.hotstarext.com/image/upload/f_auto,t_hcdl/sources/r1/cms/prod/6918/486918-h.jpg",Magic Moments Motion Pictures, Leena Gangopadhyay ,writer,Sreemoyee Sengupta ,Indrani Haldar ,1,null,"https://img1.hotstarext.com/image/upload/f_auto,t_hcdl/sources/r1/cms/prod/8590/488590-h.jpg","Meet the Charming Sreemoyee A humble homemaker, Sreemoyee is constantly criticised by her family. While she is busy with her household chores, no one seems to remember that it is her birthday.",2019-06-10,premium
Bijoyinee,TV Episodes,"Aspiring to be a classical dancer, circumstances force Keka to work as a driver by day.",Bengoli,"https://img1.hotstarext.com/image/upload/f_auto,t_hcdl/sources/r1/cms/prod/2313/522313-h.jpg",Boyhood Productions, Sourav Sengupta ,writer,Keka ,Swastika Dutta ,1,null,"https://img1.hotstarext.com/image/upload/f_auto,t_hcdl/sources/r1/cms/prod/3797/193797-h.jpg","Meet Keka, a Passionate Dancer An underprivileged Keka dreams of becoming a famous dancer. She resolves to take dance lessons from the renowned yet egoistic, Subarna Roy.",2018-12-24,premium
Kusum Dola,TV Episodes,Ranajay and Iman tie the knot owing to circumstances beyond their control.           .,Bengoli,https://upload.wikimedia.org/wikipedia/en/2/2e/Kusum_Dola_poster.jpg,Magic Moments Motion Pictures, Leena Gangopadhyay,writer,Ranojoy Chatterjee a.k.a. Rono,Rishi Kaushik  ,1,null,https://secure-media1.hotstarext.com/t_web_hs_2_5x/r1/thumbs/PCTV/81/1000107881/PCTV-1000107881-hcdl.jpg,"Gogna's Masterplan!Jayanta starts his investigation after receiving an anonymous call, informing him about Gogna's tortures. Meanwhile, Gogna and his gang try to kidnap Iman.",2016-08-27,free
Hinterland,TV Episodes,"The programme is set in Aberystwyth, Wales and the three series were filmed in the town.",English,https://images-na.ssl-images-amazon.com/images/I/91y5Y9ifyvL._RI_.jpg,Fiction Factory Films,Ed Talfan ,producer,Tom Mathias,Richard Harrington ,1,null,"https://m.media-amazon.com/images/M/MV5BYmU5NmI2ZGItMDcyNi00ZGI1LThkODMtZWEwODViMjkxNGJiXkEyXkFqcGdeQXVyNzU1NzE3NTg@._V1_CR0,45,480,270_AL_UX477_CR0,0,477,268_AL_.jpg",Detective drama series. DCI Tom Mathias is called out to a quiet seaside bungalow to investigate a suspicious disappearance on his first day at work in Aberystwyth,2013-10-09,premium
North & South,TV Episodes,A young woman from southern England who has to move to the North.,English,https://literaryfalcon.files.wordpress.com/2010/04/north-south-john-thornton-richard-armitage-4434816-1024-768.jpg,Kate Bartlett,lizabeth Gaskell ,writter,Margaret Hale,Daniela Denby-Ashe,1,null,https://m.media-amazon.com/images/M/MV5BYWUwNWE4MWQtMWExYi00OTYwLTkxZDQtZGI2ZTQ2ZDViMTVjXkEyXkFqcGdeQXVyMzQ5Njc3OTg@._V1_QL50_.jpg,"In the isolated village of Penwyllt, the body of a young man is discovered in the murky depths of a quarry lake. ... DCI Tom Mathias comes to Aberystwyth having abandoned his life in London. ... From the windswept sand dunes of the coastline to the badlands of the hinterland,",2013-10-13,premium
Mahadev,TV Episodes,"Lord Shiva is an ascetic. However, he falls in love with Sati.",Hindi,"https://img1.hotstarext.com/image/upload/f_auto,t_hcdl/sources/r1/cms/prod/5500/195500-h",kapoor studios,C.L.Saini,writer,Lord Siva,Mohit Raina,1,null,https://pune365.com/wp-content/uploads/2017/02/Little-things.jpg(50 kB)https://pune365.com/wp-content/uploads/2017/02/Little-things.jpg,"Daksh Punishes Sati....... Sati, who is the daughter of Prajapati Daksh, finds a rudraksh while drawing water from river along with her sisters. Prajapati Daksh, an opposer of Lord Shiv, dares to place Vishnu's incomplete idol in the temple. Prajapati Daksh performs Narayani Yagna to please Lord Vishnu as the statue was not entering the temple. Sati loses her way while collecting Parijat flowers in the forest. Sati gets visions of the solution for the statue enterting the temple in Rishi Dadhichi's ashram, whom she meets while finding her way back home. Accordingly, Sati places Shiv's idol in the incomplete Vishnu's statue and the statue enters the temple. Sati becomes emotional when she sees Lord Shiv for the first time",2011-12-18,free
Savdhan India,TV Episodes,"The show deals with real-life crimes stories of murder, kidnapping and other crimes.",Hindi,http://www.tellychakkar.com/sites/www.tellychakkar.com/files/styles/display_665x429/public/images/story/2019/04/26/tgmtg.jpg?itok=w2NDyRwt,Keylight Production,Priyanka Ghatak,writer,Sushant singh,Sushant singh,1,null,https://secure-media1.hotstarext.com/r1/thumbs/PCTV/81/1000060781/PCTV-1000060781-hcdl.jpg,Sumaila is molested and humiliated Sumaila goes to police station to file a complaint against the villagers. But the Inspector refuses to file her report and informs Bapla's father about her visit. Bapla threatens Sumaila to kill her if she gets out of her house. Sumaila goes to the district police station and complains against Bapla and the villagers.,2012-04-24,free
Yeh Rishtey Hain Pyaar Ke,TV Episodes,Yeh Rishtey Hain Pyaar Ke is an Indian television romantic drama that airs on Star Plus.,Hindi,"https://img1.hotstarext.com/image/upload/f_auto,t_hcdl/sources/r1/cms/prod/1144/341144-h",Keylight Production,Rajan Shahi,writer,Mishti Agarwal,Rhea Sharma ,1,null,"https://img1.hotstarext.com/image/upload/f_auto,t_web_hs_2_5x/sources/r1/cms/prod/5788/465788-h.jpg",Meet Mishti and Abir Mishti and Kuhu are off to the Kutch Utsav. A chance encounter with Abir and Ketki gives their journey a new direction.,2019-03-18,premium
Mahabharat,TV Episodes,Mahabharat is an Indian television series based on the Hindu epic of the same name.,Hindi,https://i.ytimg.com/vi/Ue9nELr2Q0c/maxresdefault.jpg,Keylight Production,Sharmin Joseph,writer,Lord Krishna/Vishnu,Saurabh Raj Jain ,1,null,https://secure-media1.hotstarext.com/t_web_hs_2_5x/r1/thumbs/PCTV/70/1000011770/PCTV-1000011770-hcdl.jpg,"Bhishma saves VichitraviryaBhishma takes an oath that he will step down from the throne, so that Satyavati can stay with Shantanu. Later, Vichitravirya is captured by the King of Panchal for his misdeeds. Bhishma saves his life and decides to punish Vichitravirya but Satyavati interferes.",2013-09-17,free
Koi Laut Ke Aaya Hai,TV Episodes,"The show is produced by Sphere Origins, the show is a psychological thriller.",Hindi,http://www.tellychakkar.com/sites/www.tellychakkar.com/files/styles/display_665x429/public/images/story/2017/03/17/koi.jpg?itok=wGbDbsA1,Sphere Origins,Rajan Shahi,writer,Geetanjali Abhimanyu Singh Rathore,Surbhi Jyoti ,1,null,https://secure-media1.hotstarext.com/t_web_hs_2_5x/r1/thumbs/PCTV/09/1000168709/PCTV-1000168709-hcdl.jpg,"Priyam Claims To Be AbhimanyuA kid, Priyam claims to be Abhimanyu. When a pandit checks Abhimanyu and Priyam's horoscopes, his answer leaves Gitanjali stunned.",2017-02-19,free
